,,,Away,,Away,,Away,,,
,,,0,,1,,2,,,
Period,Frame,Time [s],Player0,,Player1,,Player2,,Ball,
1,406,6.766667,0.781562,0.559786,0.754702,0.701597,0.61362,0.468354,nan,nan
1,407,6.783333,0.780968,0.558888,0.755028,0.70188,0.614688,0.467352,nan,nan
1,408,6.8,0.780375,0.557989,0.755354,0.702163,0.615756,0.466349,nan,nan
1,409,6.816667,0.779782,0.557091,0.75568,0.702447,0.616824,0.465347,nan,nan
1,410,6.833333,0.779189,0.556193,0.756006,0.70273,0.617892,0.464344,nan,nan
1,411,6.85,0.778596,0.555294,0.756332,0.703013,0.61896,0.463342,nan,nan
1,412,6.866667,0.778002,0.554396,0.756658,0.703297,0.620027,0.462339,nan,nan
1,413,6.883333,0.777409,0.553497,0.756984,0.70358,0.621095,0.461337,nan,nan
1,414,6.9,0.776816,0.552599,0.75731,0.703863,0.622163,0.460334,nan,nan
1,415,6.916667,0.776223,0.551701,0.757636,0.704147,0.623231,0.459332,nan,nan
1,416,6.933333,0.77563,0.550802,0.757962,0.70443,0.624299,0.458329,nan,nan
1,417,6.95,0.775036,0.549904,0.758288,0.704713,0.625367,0.457326,nan,nan
1,418,6.966667,0.774443,0.549006,0.758614,0.704997,0.626435,0.456324,nan,nan
1,419,6.983333,0.77385,0.548107,0.75894,0.70528,0.627503,0.455321,nan,nan
1,420,7.0,0.773257,0.547209,0.759266,0.705563,0.628571,0.454319,nan,nan
1,421,7.016667,0.772663,0.54631,0.759592,0.705847,0.629639,0.453316,nan,nan
1,422,7.033333,0.77207,0.545412,0.759918,0.70613,0.630707,0.452313,nan,nan
1,423,7.05,0.771477,0.544514,0.760244,0.706413,0.631776,0.451311,nan,nan
1,424,7.066667,0.77047,0.543814,0.760311,0.706106,0.632781,0.450729,nan,nan
1,425,7.083333,0.769462,0.543114,0.760377,0.705799,0.633787,0.450148,nan,nan
1,426,7.1,0.768455,0.542414,0.760444,0.705492,0.634793,0.449567,nan,nan
1,427,7.116667,0.767447,0.541714,0.760511,0.705185,0.635799,0.448986,nan,nan
1,428,7.133333,0.76644,0.541015,0.760578,0.704878,0.636805,0.448404,nan,nan
1,429,7.15,0.765432,0.540315,0.760645,0.704571,0.637811,0.447823,nan,nan
1,430,7.166667,0.764425,0.539615,0.760712,0.704264,0.638817,0.447242,nan,nan
1,431,7.183333,0.763417,0.538915,0.760779,0.703957,0.639823,0.44666,nan,nan
1,432,7.2,0.76241,0.538215,0.760846,0.70365,0.640829,0.446079,nan,nan
1,433,7.216667,0.761402,0.537515,0.760912,0.703343,0.641835,0.445498,nan,nan
1,434,7.233333,0.760395,0.536816,0.760979,0.703036,0.642841,0.444916,nan,nan
1,435,7.25,0.759387,0.536116,0.761046,0.702729,0.643847,0.444335,nan,nan
1,436,7.266667,0.75838,0.535416,0.761113,0.702422,0.644853,0.443754,nan,nan
1,437,7.283333,0.757372,0.534716,0.76118,0.702115,0.645859,0.443172,nan,nan
1,438,7.3,0.756365,0.534016,0.761247,0.701808,0.646865,0.442591,nan,nan
1,439,7.316667,0.755357,0.533317,0.761314,0.701501,0.647871,0.442009,nan,nan
1,440,7.333333,0.75435,0.532617,0.761381,0.701194,0.648877,0.441428,nan,nan
1,441,7.35,0.753342,0.531917,0.761447,0.700887,0.649883,0.440847,nan,nan
1,442,7.366667,0.752335,0.531217,0.761514,0.70058,0.650889,0.440265,nan,nan
1,443,7.383333,0.751328,0.530518,0.761581,0.700273,0.651895,0.439684,nan,nan
1,444,7.4,0.75032,0.529818,0.761648,0.699965,0.652902,0.439102,nan,nan
1,445,7.416667,0.749313,0.529118,0.761715,0.699658,0.653908,0.438521,nan,nan
1,446,7.433333,0.748305,0.528418,0.761782,0.699351,0.654914,0.43794,nan,nan
1,447,7.45,0.747298,0.527719,0.761849,0.699044,0.65592,0.437358,nan,nan
1,448,7.466667,0.74629,0.527019,0.761915,0.698737,0.656926,0.436777,nan,nan
1,449,7.483333,0.745283,0.526319,0.761982,0.69843,0.657932,0.436195,nan,nan
1,450,7.5,0.744276,0.525619,0.762049,0.698123,0.658939,0.435614,nan,nan
1,451,7.516667,0.743268,0.52492,0.762116,0.697816,0.659945,0.435032,nan,nan
1,452,7.533333,0.742261,0.52422,0.762183,0.697509,0.660474,0.434892,nan,nan
1,453,7.55,0.741254,0.52352,0.76225,0.697202,0.661002,0.434752,nan,nan
1,454,7.566667,0.740246,0.52282,0.762317,0.696895,0.661531,0.434612,nan,nan
1,455,7.583333,0.739239,0.522121,0.762384,0.696588,0.66206,0.434472,nan,nan
1,456,7.6,0.738232,0.521421,0.76245,0.696281,0.662589,0.434332,nan,nan
1,457,7.616667,0.737224,0.520721,0.762517,0.695974,0.663118,0.434192,nan,nan
1,458,7.633333,0.736217,0.520022,0.762584,0.695667,0.663646,0.434052,nan,nan
1,459,7.65,0.73521,0.519322,0.762651,0.69536,0.664175,0.433912,nan,nan
1,460,7.666667,0.734202,0.518622,0.762718,0.695053,0.664704,0.433772,nan,nan
1,461,7.683333,0.733195,0.517922,0.762785,0.694746,0.665233,0.433632,nan,nan
1,462,7.7,0.732188,0.517223,0.762852,0.694439,0.665762,0.433492,nan,nan
1,463,7.716667,0.73118,0.516523,0.762919,0.694131,0.66629,0.433352,nan,nan
1,464,7.733333,0.730173,0.515823,0.762985,0.693824,0.666819,0.433212,nan,nan
1,465,7.75,0.728949,0.514727,0.763515,0.694515,0.666634,0.43534,nan,nan
1,466,7.766667,0.727725,0.51363,0.764045,0.695206,0.666449,0.437467,nan,nan
1,467,7.783333,0.726501,0.512534,0.764574,0.695896,0.666263,0.439595,nan,nan
1,468,7.8,0.725277,0.511437,0.765104,0.696587,0.666078,0.441723,nan,nan
1,469,7.816667,0.724054,0.51034,0.765633,0.697277,0.665893,0.44385,nan,nan
1,470,7.833333,0.72283,0.509244,0.766163,0.697968,0.665707,0.445977,nan,nan
1,471,7.85,0.721606,0.508147,0.766692,0.698659,0.665522,0.448105,nan,nan
1,472,7.866667,0.720382,0.507051,0.767222,0.699349,0.665337,0.450232,nan,nan
1,473,7.883333,0.719158,0.505954,0.767752,0.70004,0.665151,0.45236,nan,nan
1,474,7.9,0.717934,0.504858,0.768281,0.70073,0.664966,0.454487,nan,nan
1,475,7.916667,0.716711,0.503761,0.768811,0.701421,0.664781,0.456614,nan,nan
1,476,7.933333,0.715487,0.502665,0.76934,0.702112,0.664595,0.458742,nan,nan
1,477,7.95,0.714263,0.501568,0.76987,0.702802,0.66441,0.460869,nan,nan
1,478,7.966667,0.713039,0.500472,0.77018,0.703221,0.664225,0.462996,nan,nan
1,479,7.983333,0.711815,0.499375,0.770489,0.70364,0.664039,0.465124,nan,nan
1,480,8.0,0.710592,0.498279,0.770799,0.704059,0.663854,0.467251,nan,nan
1,481,8.016667,0.709368,0.497182,0.771109,0.704478,0.663669,0.469378,nan,nan
1,482,8.033333,0.708144,0.496086,0.771419,0.704897,0.663483,0.471505,nan,nan
1,483,8.05,0.707226,0.494888,0.771729,0.705316,0.663298,0.473632,nan,nan
1,484,8.066667,0.706308,0.493691,0.772039,0.705735,0.663113,0.475759,nan,nan
1,485,8.083333,0.70539,0.492494,0.772348,0.706154,0.662927,0.477886,nan,nan
1,486,8.1,0.704471,0.491297,0.772658,0.706573,0.662742,0.480013,nan,nan
1,487,8.116667,0.703553,0.4901,0.772968,0.706992,0.662188,0.482071,nan,nan
1,488,8.133333,0.702635,0.488902,0.773278,0.707411,0.661633,0.484129,nan,nan
1,489,8.15,0.701717,0.487705,0.773588,0.70783,0.661079,0.486186,nan,nan
1,490,8.166667,0.700799,0.486508,0.773897,0.708249,0.660525,0.488244,nan,nan
1,491,8.183333,0.699881,0.48531,0.774207,0.708668,0.65997,0.490302,nan,nan
1,492,8.2,0.698963,0.484113,0.774517,0.709087,0.659416,0.492359,nan,nan
1,493,8.216667,0.698044,0.482916,0.774827,0.709506,0.658862,0.494417,nan,nan
1,494,8.233333,0.697126,0.481719,0.775137,0.709925,0.658307,0.496475,nan,nan
1,495,8.25,0.696993,0.480196,0.775446,0.710344,0.657753,0.498532,nan,nan
1,496,8.266667,0.696859,0.478674,0.775756,0.710763,0.657198,0.50059,nan,nan
1,497,8.283333,0.696725,0.477152,0.776066,0.711182,0.656644,0.502647,nan,nan
1,498,8.3,0.696591,0.475629,0.776376,0.711601,0.65609,0.504705,nan,nan
1,499,8.316667,0.696458,0.474107,0.776686,0.71202,0.655536,0.506762,nan,nan
1,500,8.333333,0.696324,0.472584,0.776995,0.712439,0.654981,0.508819,nan,nan
1,501,8.35,0.69619,0.471062,0.777305,0.712858,0.654427,0.510877,nan,nan
1,502,8.366667,0.696057,0.469539,0.777615,0.713277,0.653873,0.512934,nan,nan
1,503,8.383333,0.695923,0.468017,0.777925,0.713696,0.653318,0.514991,nan,nan
1,504,8.4,0.695789,0.466494,0.778235,0.714115,0.652764,0.517048,nan,nan
1,505,8.416667,0.695656,0.464972,0.778545,0.714534,0.65221,0.519106,nan,nan
1,506,8.433333,0.695522,0.463449,0.778854,0.714953,0.651656,0.521163,nan,nan
1,507,8.45,0.695388,0.461927,0.779164,0.715372,0.651101,0.52322,nan,nan
1,508,8.466667,0.695215,0.460127,0.779164,0.714653,0.649967,0.525056,nan,nan
1,509,8.483333,0.695041,0.458328,0.779163,0.713934,0.648832,0.526892,nan,nan
1,510,8.5,0.694867,0.456529,0.779163,0.713215,0.647697,0.528728,nan,nan
1,511,8.516667,0.694694,0.454729,0.779162,0.712496,0.646562,0.530564,nan,nan
1,512,8.533333,0.69452,0.45293,0.779162,0.711777,0.645428,0.5324,nan,nan
1,513,8.55,0.694346,0.451131,0.779161,0.711058,0.644293,0.534236,nan,nan
1,514,8.566667,0.694173,0.449331,0.779161,0.710338,0.643158,0.536072,nan,nan
1,515,8.583333,0.693999,0.447532,0.77916,0.709619,0.642024,0.537908,nan,nan
1,516,8.6,0.694489,0.445816,0.77916,0.7089,0.640889,0.539744,nan,nan
1,517,8.616667,0.694978,0.4441,0.779159,0.708181,0.639755,0.54158,nan,nan
1,518,8.633333,0.695468,0.442385,0.779159,0.707462,0.63862,0.543415,nan,nan
1,519,8.65,0.695958,0.440669,0.779158,0.706743,0.637486,0.545251,nan,nan
1,520,8.666667,0.696448,0.438953,0.779158,0.706024,0.636351,0.547087,nan,nan
1,521,8.683333,0.696937,0.437237,0.779157,0.705305,0.635217,0.548922,nan,nan
1,522,8.7,0.697427,0.435522,0.779157,0.704585,0.634082,0.550758,nan,nan
1,523,8.716667,0.697917,0.433806,0.779156,0.703866,0.632948,0.552593,nan,nan
1,524,8.733333,0.698406,0.43209,0.779156,0.703147,0.631813,0.554429,nan,nan
1,525,8.75,0.698896,0.430374,0.779155,0.702428,0.630679,0.556264,nan,nan
1,526,8.766667,0.699386,0.428658,0.779155,0.701709,0.629545,0.5581,nan,nan
1,527,8.783333,0.699876,0.426942,0.779154,0.70099,0.62841,0.559935,nan,nan
1,528,8.8,0.700365,0.425226,0.779154,0.70027,0.627276,0.56177,nan,nan
1,529,8.816667,0.700855,0.42351,0.779153,0.699551,0.626142,0.563606,nan,nan
1,530,8.833333,0.701345,0.421794,0.779153,0.698832,0.625008,0.565441,nan,nan
1,531,8.85,0.701835,0.420078,0.779152,0.698113,0.623873,0.567276,nan,nan
1,532,8.866667,0.702325,0.418362,0.779152,0.697394,0.622739,0.569111,nan,nan
1,533,8.883333,0.702814,0.416646,0.779151,0.696674,0.621605,0.570946,nan,nan
1,534,8.9,0.703304,0.41493,0.779151,0.695955,0.620331,0.572233,nan,nan
1,535,8.916667,0.703794,0.413213,0.77915,0.695236,0.619056,0.57352,nan,nan
1,536,8.933333,0.704284,0.411497,0.77915,0.694517,0.617782,0.574808,nan,nan
1,537,8.95,0.705408,0.410184,0.779149,0.693798,0.616508,0.576095,nan,nan
1,538,8.966667,0.706533,0.408871,0.779149,0.693078,0.615233,0.577382,nan,nan
1,539,8.983333,0.707658,0.407559,0.779148,0.692359,0.613959,0.578669,nan,nan
1,540,9.0,0.708782,0.406246,0.779148,0.69164,0.612685,0.579956,nan,nan
1,541,9.016667,0.709907,0.404933,0.779147,0.690921,0.61141,0.581242,nan,nan
1,542,9.033333,0.711032,0.40362,0.779147,0.690202,0.610136,0.582529,nan,nan
1,543,9.05,0.712156,0.402307,0.779146,0.689482,0.608862,0.583816,nan,nan
1,544,9.066667,0.713281,0.400993,0.779146,0.688763,0.607588,0.585103,nan,nan
1,545,9.083333,0.714406,0.39968,0.779145,0.688044,0.606314,0.58639,nan,nan
1,546,9.1,0.715531,0.398367,0.779145,0.687325,0.605039,0.587677,nan,nan
